iter	Passed	Remaining
173	237	1125
174	237	1120
175	238	1114
176	238	1109
177	239	1104
178	239	1098
179	240	1093
180	240	1088
181	241	1083
182	241	1079
183	242	1074
184	243	1070
185	243	1065
186	244	1060
187	244	1056
188	245	1051
189	245	1046
190	245	1041
191	246	1037
192	246	1032
193	247	1028
194	247	1023
195	248	1019
196	248	1014
197	249	1010
198	250	1006
199	250	1001
200	250	997
201	251	993
202	251	989
203	252	985
204	252	981
205	253	976
206	253	972
207	254	969
208	255	965
209	255	961
210	256	957
211	256	953
212	257	950
213	257	946
214	258	942
215	258	938
216	259	935
217	259	931
218	260	927
219	260	924
220	261	920
221	261	916
222	262	913
223	262	910
224	263	907
225	263	903
226	264	900
227	265	897
228	265	894
229	266	891
230	266	888
231	267	885
232	267	882
233	268	878
234	269	875
235	269	872
236	270	869
237	270	866
238	271	863
239	271	860
240	272	857
241	272	854
242	273	851
243	273	848
244	274	845
245	274	842
246	275	839
247	276	836
248	276	834
249	277	831
250	277	828
251	278	826
252	278	823
253	279	821
254	280	818
255	280	816
256	281	813
257	281	810
258	282	808
259	283	805
260	283	802
261	284	800
262	284	797
263	285	795
264	285	792
265	286	789
266	286	787
267	287	784
268	287	782
269	288	779
270	288	777
271	289	775
272	290	773
273	291	771
274	291	768
275	292	766
276	292	764
277	293	762
278	293	759
279	294	757
280	295	755
281	295	752
282	296	750
283	296	748
284	297	746
285	297	743
286	298	741
287	299	739
288	299	737
289	300	735
290	300	732
291	301	730
292	302	728
293	302	726
294	303	724
295	303	722
296	304	720
297	304	718
298	305	716
299	306	714
300	306	711
301	307	709
302	307	708
303	308	705
304	308	703
305	309	701
306	310	699
307	310	698
308	311	696
309	311	694
310	312	692
311	312	690
312	313	687
313	313	685
314	314	684
315	315	682
316	315	680
317	316	678
318	316	676
319	317	674
320	317	672
321	318	670
322	318	668
323	319	666
324	319	664
325	320	662
326	320	660
327	321	658
328	321	656
329	322	654
330	322	652
331	323	650
332	323	648
333	324	646
334	324	644
335	325	643
336	326	641
337	326	639
338	327	637
339	327	636
340	328	634
341	328	632
342	329	630
343	329	628
344	330	626
345	330	624
346	330	622
347	332	622
348	332	620
349	333	618
350	333	616
351	334	614
352	334	613
353	335	611
354	335	609
355	336	607
356	336	606
357	337	604
358	337	602
359	338	601
360	338	599
361	339	598
362	340	596
363	340	595
364	341	593
365	341	591
366	342	589
367	342	588
368	343	586
369	343	584
370	344	583
371	344	581
372	345	580
373	345	578
374	346	576
375	346	575
376	347	573
377	347	572
378	348	570
379	348	568
380	349	567
381	349	565
382	350	564
383	350	562
384	351	561
385	351	559
386	352	558
387	352	556
388	353	555
389	353	553
390	354	552
391	354	550
392	355	548
393	355	547
394	356	545
395	356	544
396	357	542
397	357	541
398	358	539
399	358	538
400	359	536
401	360	535
402	360	534
403	361	532
404	361	531
405	362	530
406	362	528
407	363	527
408	363	525
409	364	524
410	364	522
411	365	521
412	365	520
413	366	518
414	366	517
415	367	515
416	367	514
417	368	512
418	368	511
419	369	510
420	369	508
421	370	507
422	370	505
423	371	504
424	371	503
425	372	501
426	372	500
427	373	499
428	374	498
429	375	497
430	375	495
431	376	494
432	376	493
433	377	492
434	377	490
435	378	489
436	379	488
437	379	486
438	380	485
439	380	484
440	381	482
441	381	481
442	381	480
443	382	478
444	382	477
445	383	476
446	384	475
447	384	473
448	384	472
449	385	471
450	386	470
451	386	468
452	387	467
453	387	466
454	388	465
455	389	464
456	389	463
457	390	461
458	390	460
459	391	459
460	391	458
461	392	457
462	393	456
463	393	454
464	394	453
465	394	452
466	395	451
467	396	450
468	396	449
469	397	448
470	397	446
471	398	445
472	399	444
473	399	443
474	400	442
475	400	441
476	401	439
477	401	438
478	402	437
479	402	436
480	403	435
481	403	434
482	404	432
483	404	431
484	405	430
485	405	429
486	406	428
487	406	426
488	407	425
489	407	424
490	408	423
491	408	422
492	409	421
493	409	419
494	410	418
495	411	417
496	411	416
497	412	415
498	412	414
499	413	413
500	413	411
501	414	410
502	414	409
503	415	408
504	415	407
505	416	406
506	416	405
507	417	404
508	417	402
509	418	401
510	418	400
511	419	399
512	419	398
513	420	397
514	420	396
515	421	395
516	421	394
517	422	393
518	422	392
519	423	390
520	423	389
521	424	388
522	424	387
523	425	386
524	425	385
525	426	384
526	426	383
527	427	382
528	427	381
529	428	379
530	428	378
531	429	377
532	429	376
533	430	375
534	430	374
535	431	373
536	432	372
537	432	371
538	433	370
539	433	369
540	434	368
541	434	367
542	435	366
543	435	365
544	436	364
545	436	363
546	437	362
547	437	361
548	438	360
549	438	359
550	439	358
551	439	357
552	440	356
553	440	355
554	441	353
555	441	352
556	442	351
557	442	350
558	443	349
559	443	348
560	444	347
561	444	346
562	445	345
563	446	344
564	446	343
565	447	342
566	447	341
567	448	340
568	448	339
569	449	339
570	449	338
571	450	337
572	451	336
573	451	335
574	452	334
575	452	333
576	453	332
577	453	331
578	454	330
579	454	329
580	455	328
581	455	327
582	456	326
583	456	325
584	457	324
585	457	323
586	458	322
587	458	321
588	459	320
589	460	319
590	460	318
591	461	317
592	461	317
593	462	316
594	462	315
595	463	314
596	463	313
597	464	312
598	464	311
599	465	310
600	465	309
601	466	308
602	466	307
603	467	306
604	467	305
605	468	304
606	468	303
607	469	302
608	469	301
609	470	300
610	470	299
611	471	298
612	471	297
613	472	296
614	472	295
615	473	295
616	473	294
617	474	293
618	474	292
619	475	291
620	475	290
621	476	289
622	476	288
623	477	287
624	477	286
625	478	285
626	478	284
627	479	283
628	479	283
629	480	282
630	480	281
631	481	280
632	482	279
633	482	278
634	483	277
635	483	276
636	484	275
637	484	274
638	485	274
639	485	273
640	486	272
641	486	271
642	487	270
643	487	269
644	488	268
645	488	267
646	489	266
647	489	265
648	490	265
649	490	264
650	491	263
651	491	262
652	492	261
653	492	260
654	493	259
655	493	258
656	494	257
657	494	257
658	495	256
659	495	255
660	496	254
661	496	253
662	497	252
663	497	251
664	498	250
665	498	250
666	499	249
667	499	248
668	500	247
669	500	246
670	501	245
671	501	244
672	502	244
673	503	243
674	503	242
675	504	241
676	504	240
677	505	240
678	506	239
679	506	238
680	507	237
681	507	236
682	508	235
683	508	235
684	509	234
685	510	233
686	510	232
687	511	231
688	511	230
689	512	230
690	512	229
691	513	228
692	513	227
693	514	226
694	514	226
695	515	225
696	515	224
697	516	223
698	516	222
699	517	221
700	518	220
701	518	220
702	519	219
703	519	218
704	520	217
705	520	216
706	521	216
707	521	215
708	522	214
709	522	213
710	523	212
711	524	212
712	524	211
713	525	210
714	525	209
715	526	208
716	527	208
717	527	207
718	528	206
719	528	205
720	529	204
721	530	204
722	530	203
723	531	202
724	531	201
725	532	200
726	532	200
727	533	199
728	533	198
729	534	197
730	534	196
731	535	195
732	535	195
733	536	194
734	536	193
735	537	192
736	537	191
737	538	191
738	538	190
739	539	189
740	539	188
741	540	187
742	540	187
743	541	186
744	541	185
745	542	184
746	542	183
747	543	183
748	543	182
749	544	181
750	544	180
751	545	179
752	545	179
753	546	178
754	546	177
755	547	176
756	547	175
757	548	175
758	548	174
759	549	173
760	549	172
761	550	171
762	550	171
763	551	170
764	551	169
765	552	168
766	552	167
767	553	167
768	553	166
769	554	165
770	554	164
771	555	163
772	555	163
773	556	162
774	556	161
775	557	160
776	557	160
777	558	159
778	558	158
779	559	157
780	559	157
781	560	156
782	560	155
783	561	154
784	561	153
785	562	153
786	562	152
787	563	151
788	563	150
789	564	150
790	564	149
791	565	148
792	566	147
793	566	146
794	567	146
795	567	145
796	568	144
797	568	143
798	569	143
799	569	142
800	570	141
801	570	140
802	571	140
803	571	139
804	572	138
805	572	137
806	573	137
807	573	136
808	574	135
809	574	134
810	575	134
811	575	133
812	576	132
813	576	131
814	577	131
815	577	130
816	578	129
817	578	128
818	579	128
819	579	127
820	580	126
821	580	125
822	581	125
823	581	124
824	582	123
825	582	122
826	583	122
827	583	121
828	584	120
829	584	119
830	585	119
831	585	118
832	586	117
833	587	116
834	587	116
835	588	115
836	588	114
837	588	113
838	589	113
839	590	112
840	590	111
841	591	110
842	591	110
843	592	109
844	592	108
845	593	107
846	593	107
847	594	106
848	594	105
849	595	105
850	595	104
851	596	103
852	596	102
853	597	102
854	597	101
855	598	100
856	598	99
857	599	99
858	599	98
859	600	97
860	600	96
861	601	96
862	601	95
863	602	94
864	602	94
865	603	93
866	603	92
867	604	91
868	604	91
869	605	90
870	605	89
871	606	88
872	606	88
873	607	87
874	607	86
875	608	86
876	608	85
877	609	84
878	609	83
879	610	83
880	610	82
881	611	81
882	611	81
883	612	80
884	612	79
885	613	78
886	613	78
887	614	77
888	614	76
889	615	76
890	615	75
891	616	74
892	616	73
893	617	73
894	617	72
895	618	71
896	618	71
897	619	70
898	619	69
899	620	68
900	620	68
901	621	67
902	621	66
903	622	66
904	622	65
905	623	64
906	623	63
907	624	63
908	625	62
909	625	61
910	626	61
911	627	60
912	627	59
913	628	59
914	628	58
915	629	57
916	629	56
917	630	56
918	630	55
919	631	54
920	631	54
921	632	53
922	632	52
923	633	52
924	633	51
925	634	50
926	634	49
927	635	49
928	635	48
929	636	47
930	636	47
931	637	46
932	637	45
933	638	45
934	638	44
935	639	43
936	639	43
937	640	42
938	640	41
939	641	40
940	641	40
941	642	39
942	642	38
943	643	38
944	643	37
945	644	36
946	644	36
947	645	35
948	645	34
949	646	34
950	646	33
951	647	32
952	647	31
953	648	31
954	648	30
955	649	29
956	649	29
957	650	28
958	650	27
959	651	27
960	651	26
961	652	25
962	652	25
963	653	24
964	653	23
965	654	23
966	654	22
967	655	21
968	655	20
969	656	20
970	656	19
971	657	18
972	657	18
973	658	17
974	658	16
975	659	16
976	659	15
977	660	14
978	660	14
979	661	13
980	661	12
981	662	12
982	662	11
983	663	10
984	663	10
985	664	9
986	664	8
987	665	8
988	665	7
989	666	6
990	667	6
991	667	5
992	668	4
993	668	4
994	669	3
995	669	2
996	670	2
997	670	1
998	671	0
999	671	0
